책 이름,작가,장르,ISBN,책 소개,추천단어
파우스트(명화 수록 무삭제 완역본),요한 볼프강 폰 괴테,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"괴테가 쓴 원문의 리듬을 고스란히 살려낸, 가장 희곡다운 번역국내 유일, 거장들의 컬러 명화와 함께 읽는 완역본
*니체, 아인슈타인, 융, 에머슨, 카프카… 세계사의 거장들이 극찬한 불멸의 작품*하버드·서울대 권장 도서, 노벨연구소 선정 최고의 책 100선, 미국대학위원회 SAT 추천도서“온갖 학문에 통달하고 마법까지 익혔지만, 자신의 능력에 한계를 느껴 절망한 노학자(老學者) 파우스트. 이런 그 앞에 메피스토펠레스라는 악마가 나타나 솔깃한 제안을 한다. 유혹에 넘어간 파우스트는 자기 영혼을 걸고 악마와 내기한 뒤 욕망을 마음껏 채워나간다….”『파우스트』는 괴테가 20대 초에 쓰기 시작해서 60여 년간 더하고 고치기를 거듭하다가 83세로 생을 마감하기 직전에 완성한 역작이다. 그는 전설에서 모티프를 얻은 이야기에 성서, 그리스·로마 신화, 민간설화, 철학 사상을 한데 엮고, 각계각층의 생동감 있는 어휘와 다양한 문학적 형식을 사용하여 12,111행에 달하는 인류사의 장엄한 드라마를 창조했다.작중인물 파우스트는 단지 욕망을 좇는 것이 아니라, 한계를 극복하고 자신의 가능성을 완전히 펼치고자 몸부림친다. 반면 메피스토펠레스는 도덕과 이상, 삶의 가치를 끊임없이 부정한다. 이는 인간의 마음속에서 속삭이는 두 목소리와 같다. 이처럼 중세 유럽의 주인공들은 인간의 본성과 삶의 원형을 적나라하게 들춰내면서, 오늘을 살아가는 우리에게 존재의 의미와 인간성의 한계, 선악의 개념에 관해 낯설고 불편한 질문을 던진다. 한편으로는 모순투성이 삶에서도 희망의 끈을 놓지 않고 목표를 향해 나아가도록 우리를 격려한다.『파우스트』는 운문으로 쓰인 희곡이다. 운율과 호흡을 고려하며 읽어야 온전히 몰입할 수 있는 이 작품을 독일어권 대표 번역자이자 인문학자인 안인희의 ‘가장 희곡다운 번역’으로 선보인다. 독자들은 문장의 리듬에 이끌려 대사가 귀에 감기고 가슴에 흥이 돋는 경험을 하게 될 것이다. 중요한 단어와 구절마다 친절한 각주를 달았고, 방대한 내용을 한눈에 파악할 수 있도록 해제 뒷부분에 줄거리를 덧붙였다. 한 점 한 점이 예술품인 대가들의 컬러 명화는 감성과 상상력을 자극하면서, 연극을 관람하듯 작품을 입체적으로 이해하게 한다.","연구소,가슴,목표,역작,국내,반면,호흡,희곡,선정,연극,부분,투성이,거장,번역,고려,능력,관해,각주,설화,도덕,로마,경험,개념,운율,희망,가치,번역자,해제,격려,본성,거듭,유혹,의미,권장,마감,마음껏,세계사,유럽,운문,인류사,중세,시작,존재,내용,이야기,흥이,이자,전설,서울대,몰입"
수레바퀴 아래서,헤르만 헤세,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"고루하고 위선적인 권위에 맞서 싸우는 소년의 이야기!
노벨문학상을 수상한 헤르만 헤세의 자전소설 『수레바퀴 아래서』. 명예심과 규격화된 인물을 만들려는 교육제도에 의해 서서히 파괴되어 가는 한 인간의 모습을 신랄하게 보여준 작품이다. 슈바츠발트라는 작은 마을에 재능이 풍부한 한스 기벤라트와 헤세 자신의 모습이 담겨있는 하일러 두 소년의 이야기를 담고 있다. 저자는 상반된 성격의 두 인물을 통해 자신이 십대 시절 겪었던 내면의 갈등을 고스란히 보여준다.  ‘수레바퀴 아래서’라는 비유적 표현에서 우리는 한 개인의 내면과는 상관없이 강압적으로 돌아가는 물리적 세계의 톱니에 짓눌린 여린 영혼을 떠올릴 수 있다. 민감하고 불안정한 소년 한스 기벤라트는 헤세의 분신이다. 한스가 엄격한 신학교의 규율을 이겨내지 못하고 신경쇠약에 걸려 학교에서 쫓겨난 것, 작은 고향 도시로 돌아와 공장의 견습공으로 새로운 삶을 열어 보려 한 것 등은 헤세의 우울한 청소년기와 겹치는 장면들이다. 다만 다른 점이 있다면 헤세가 세계와의 갈등을 극복하고 마침내 자아를 발견하여 자신의 고통스러운 체험을 예술로 승화한 반면 한스는 엄격하고 딱딱한 집안 분위기와 학교 교육 및 사회 전통과 권위에 눌려 파멸하고 만다는 것이다.","권위,소년,반면,발트,헤세,톱니,내면,상반,아래,수상한,교육제도,체험,견습,청소년기,인간,표현,규율,고스,위선,영혼,갈등,인물,자전소설,십대,장면,저자,비유,한스,분위기,고루,교육,극복,분신,학교,전통,개인,파괴,노벨문학상,마을,이야기,눌려,모습,헤르,세계,마침내,쇠약,성격,물리,예술,사회"
젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"독일의 대문호인 저자가 25세 되던 해 봄, 이미 약혼자가 있는 샤로테 부프를 사랑하게 되면서, 그녀를 향한 이룰 수 없는 사랑에 절망하고 고통스러워하던 당시의 심정과 남편이 있는 부인을 사랑하다 자살한 친구의 이야기를 연결해 쓴 작품.","부인,당시,이야기,부프,작품,친구,저자,샤로테,그녀,문호,사랑,약혼자,자살,남편,절망,독일,심정"
데미안(리커버 한정판),헤르만 헤세,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"헤르만 헤세 탄생 140주년 기념 1919년 오리지널 초판본 표지디자인 초호화 패브릭 양장!독일이 낳은 대문호, 헤르만 헤세!나를 찾아가는 길 《데미안》 TVN‘요즘책방 책읽어드립니다’ 방송 도서!▶ 줄거리라틴어 학교에 다니던 열 살 싱클레어는 따스한 가정에서 자라며 ‘선의 세계’만을 알았다. 그러던 어느 날, 동네 소년 프란츠 크로머에게 사과를 훔쳤다는 허풍을 떨면서 ‘악의 세계’에 대해서도 알게 된다. 그로 인해 자신의 내면에 밝은 세계와 어두운 세계가 공존한다는 것을 느끼고 괴로워한다. 그러던 중 신비한 소년 데미안을 만나고, 그가 들려준 카인과 아벨의 이야기를 통해 선과 악의 진실을 깨닫는다. 상급 학교에 진학하면서 데미안과 헤어진 싱클레어는 다시 어둠의 세계에 빠지게 되는데…….","싱클레어,소년,요즘,동네,헤세,디자인,책방,줄거리,내면,그로,주년,허풍,판본,진실,사과,공존,데미안,대해,가정,양장,표지,선의,카인,아벨,라틴어,프란츠,브릭,어둠,상급,진학,서도,기념,악의,방송,학교,두운,이야기,호화,탄생,문호,세계,헤르,리지,독일,도서"
변신 시골의사,프란츠 카프카,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"20세기 실존주의 문학의 선구자 카프카, 현대 문학의 신화가 된 불멸의 단편들불확실한 세계 속에 갇힌 소시민의 불안과 절망“늘 있는 사건. 그것의 감내, 일상적인 당혹 한 가지.”","단편,가지,그것,실존,문학,카프카,세기,절망,현대,소시민,신화,불멸,당혹,선구자,일상,주의,세계,사건,불안"
초조한 마음,슈테판 츠바이크,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"인간 본성에 대한 분석이 돋보이는 츠바이크의 유일한 장편!
세계적인 전기 작가이자 심리소설의 대가로 꼽히는 슈테판 츠바이크의 유일한 장편소설 『초조한 마음』. 츠바이크는 여러 장르에서 활발한 활동을 했지만 장편소설은 많지 않고, 그가 생전에 완성하고 평가받은 장편소설은 이 작품이 유일하다. 인간의 미세한 감정까지 낱낱이 해부하여 생동감 있게 표현했고, 숨기고 싶은 내면의 이기심과 나약함까지 들춰내 보여준다. 인간의 보편적 감정인 사랑이나 연민 등에 대한 분석 외에도, 작가가 바라본 옛 오스트리아 제국의 문제점들이 고스란히 담겨 있다.헝가리 국경지역 한적한 마을의 주둔지에서 무료한 나날을 보내던 호프밀러 소위. 한 연회에 초대된 그는 그 집 딸 에디트가 하반신 마비라는 사실을 모르고 춤을 청하는 실수를 한다. 실수를 만회하기 위해 다시 찾아간 호프밀러는 에디트에 대한 연민으로 계속 그 집을 방문하게 되고, 세상으로부터 격리되어 살아온 에디트는 자신을 찾아주는 유일한 남자인 호프밀러에게 남다른 감정을 품게 된다. 에디트의 감정을 알게 된 호프밀러는 도망치듯 그 상황을 벗어나려 하는데….","전기,장편소설,소설,방문,세상,무료,계속,나날,내면,문제점,슈테판,하반신,생전,평가,이기심,인간,표현,주둔지,고스,호프,사랑,대한,만회,보편,마음,제국,지역,에디,본성,작가,작품,연회,장르,소위,완성,마비,해부,츠바이크,국경,숨기,실수,오스트리아,심리,밀러,감정,남자,세계,감정인,상황,대가"
데미안(리커버 한정판)(블랙벨벳 에디션),헤르만 헤세,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"1919년 오리지널 초판본 표지디자인초호화 양장 블랙벨벳 에디션!영혼의 성장 기록, 나를 찾아가는 길 《데미안》
20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤르만 헤세의 대표작인 《데미안》을 초호화 양장 블랙벨벳 에디션으로 제작하였다. 벨벳 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 블랙벨벳을 더욱 돋보이게 하는 고급스러운 금박을 재현하여 오리지널 초판본의 품격과 가치를 담아냈다. 헤르만 헤세 전문 번역자이자 독일 문학 연구자인 역자의 깊이 있는 번역은 자서전적이고 철학적인 헤르만 헤세 문학의 감동을 고스란히 전해줄 것이다. 더스토리 오리지널 초판본 초호화 양장 블랙벨벳 에디션의 특징●　1919년 독일 피셔(S. Fischer) 출판사의 오리지널 초판본 표지디자인!●　벨벳 특유의 색감과 감촉을 살린 초호화 양장 블랙벨벳 커버!●　실로 꿰맨 정통적인 사철 제본과 환양장! ●　블랙벨벳을 더욱 돋보이게 하는 고급스러운 금박 재현!1919년의 ‘싱클레어’가 다시 찾아옵니다!《데미안》은 헤르만 헤세가 1919년 ‘에밀 싱클레어’라는 가명으로 출판한 소설이다. 당시 문단에서 대문호로 인정받던 헤르만 헤세는 작가로서 자신의 소설이 작품성만으로 인정받는지 확인해보고 싶었고, 그 결과는 성공적이었다. 이후 많은 사람들이 무명작가 ‘에밀 싱클레어’를 궁금해 했다. 헤르만 헤세는 자신이 ‘에밀 싱클레어’라는 사실을 밝히고 1920년부터 저자 이름을 헤르만 헤세로 바꿔 출판했다. 도서출판 더스토리에서 출간한 초판본 《데미안》 블랙벨벳 에디션은 헤르만 헤세가 ‘에밀 싱클레어’라는 이름으로 출판한 1919년 초판본 표지디자인을 그대로 따랐다.20세기 센세이션을 일으킨 성장 소설의 고전《데미안》은 1차 세계대전이 끝난 후 재출발을 다짐한 헤르만 헤세에게 제2의 출발점과 같은 작품이다. 청춘의 고뇌와 인간의 양면성을 담고 있으며, 자아 찾기를 삶의 목표로 삼고 내면의 길을 지향하면서 현실과 대결하는 영혼의 모습을 치밀하게 그려냈다. 헤르만 헤세는 나를 찾아가는 길이자 치열한 성장 기록인 《데미안》을 통해 세상의 수많은 ‘에밀 싱클레어’가 삶의 근원적인 힘을 깨닫기를 바랐다. 그리고 그때 비로소 내면에서 울려 퍼지는 운명의 목소리를 듣게 될 거라고 확신했다.▶ 줄거리라틴어 학교에 다니던 열 살 싱클레어는 따스한 가정에서 자라며 ‘선의 세계’만을 알았다. 그러던 어느 날, 동네 소년 프란츠 크로머에게 사과를 훔쳤다는 허풍을 떨면서 ‘악의 세계’에 대해서도 알게 된다. 그로 인해 자신의 내면에 밝은 세계와 어두운 세계가 공존한다는 것을 느끼고 괴로워한다. 그러던 중 신비한 소년 데미안을 만나고, 그가 들려준 카인과 아벨의 이야기를 통해 선과 악의 진실을 깨닫는다. 싱클레어는 상급 학교에 진학하게 되면서 데미안과 헤어진다. 다시 어둠의 세계에 빠지게 된 그는 위태롭게 방황하며 혼란스러워한다. 그러나 데미안의 편지를 받고, 참된 자아를 발견하며 자신만의 내면을 구축하는 방법을 깨우친다.","고전,재현,그대로,휴머니즘,독자,목표,사람,디자인,출판사,운명,감동,성장,동경,허풍,초판,판본,이름,성찰,고스,영혼,자아,기록,아벨,라틴어,본의,탐구,작가,깊이,품격,작품,자연,세계대전,꼽으,확인,어둠,악의,연구자,우리나라,두운,이야기,센세이션,이자,감촉,모습,제본,세계,리지,양면,도서,특징"
리스본행 야간열차,파스칼 메르시어,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"“문학에 새로운 예술적 전통을 세운 경이로운 작품” _라 캥젠느 리테레르끝없는 밤을 가로지르는 야간열차처럼, 잊을 수 없는 체험으로 간직될 이야기
단조로운 바퀴 소리, 덜컹거리는 사물들… 삶에 회의를 느끼고 충동적으로 올라탄 열차가 데려다준 도시 리스본. 경사진 골목길을 달리는 오래된 전차와 낯선 언어를 헤집고 만난 새로운 사람들. 파스칼 메르시어의 《리스본행 야간열차》가 비채에서 새롭게 출간되었다. 독일어권 국가에서만 200만 독자의 사랑을 받고 30개 이상 언어로 번역되었으며, 한국에선 2007년 처음 출간된 이후 지금까지도 꾸준히 회자되는 현대고전으로 자리 잡은 대작. 2022년 새로 출간하는 《리스본행 야간열차》는 그 품격에 맞도록 무게감을 더한 양장 제본과 모던한 표지로 세련되게 단장하였으며, 본문의 시작부터 끝까지 세심히 살펴 오늘의 감수성으로 다듬었다. 감각적이고 유려한 문체, 독일 최고의 철학 부문 에세이에 수여하는 트락타투스상을 수상한 저자가 소설의 토대에 쌓아 올린 지적인 사유. 독일 주간지 〈디 차이트〉에서 “심연을 파헤치는 의식의 심리물”이라고 평한 찬란한 이야기가 다시 펼쳐진다.","회의,리테,소설,사람,철학,수상한,유려,체험,모던,본문,번역,주간지,독일어권,경이,감수성,파스칼,사랑,트락타투스상,표지,야간,단장,감각,언어,저자,작품,대작,소리,국가,토대,의식,낯선,캥젠느,거리,시작,전통,최고,골목길,이야기,수여,지적,도시,심리,세운,레르,사물,자리,문체,독일,예술,메르"
카타리나 블룸의 잃어버린 명예,하인리히 뵐,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"카타리나 블룸은 왜 살인을 저지르게 되었는가?
노벨문학상 수상작가 하인리히 뵐의 작품『카타리나 블룸의 잃어버린 명예』. 1975년에 발표된 이 작품은 대중의 호기심을 자극하는 선정적인 언론이 한 개인의 명예와 인생을 파괴해가는 과정을 그리고 있다. 성실하게 살아왔던 여인은 언론의 허위 보도와 그에 호응하는 군중에 의해 살인범의 정부, 테러리스트의 공조자, 음탕한 공산주의자가 되고 만다. 1974년 2월 24일 일요일, 한 일간지 기자가 살해당하는 사건이 발생한다. 27세의 평범한 여인 카타리나 블룸은 경찰을 찾아와 자신이 그를 총으로 쏘아 죽였다고 자백한다. 어려운 환경에서 자라 가정관리사로 일하면서도 늘 성실한 태도로 주위의 호감을 샀던 카타리나가 왜 살인을 저질렀을까? 화자는 사건의 진실을 알아내기 위해, 2월 20일 수요일부터 일요일까지 5일간의 그녀의 행적을 재구성하여 보고한다.수요일 저녁, 카타리나는 댄스파티에서 괴텐이라는 남자를 만나 함께 밤을 보낸다. 그런데 이튿날 경찰이 그녀의 집에 들이닥쳐 가택 수색을 벌인다. 알고보니 괴텐은 은행 강도에 살인 혐의로 계속 언론과 경찰에 쫓기고 있었던 것. 카타리나가 경찰 조사에서 묵비권을 행사하고 있다는 소식은 특종을 찾아 헤매던 일간지 기자 퇴트게스에게 포착되는데….","호응,테러리스트,살인,기자,관리사,보고,범의,퇴트게스,선정,진실,허위,특종,환경,강도,행적,과정,언론,괴텐,수상작,행사,혐의,카타리나,댄스파티,작품,자극,일요일,대중,하인리히,이튿날,은행,인생,묵비권,발표,정부,자백,공산주의,여인,수색,개인,공조,파괴,노벨문학상,가택,그녀,사건,경찰,저녁,군중,명예,포착"
초판본 싯다르타(리커버 한정판),헤르만 헤세,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"1922년 오리지널 초판본 표지디자인초호화 패브릭 에디션!세상의 근원을 탐구하며 ‘참 나’를 찾아가는 길독일의 대문호 헤르만 헤세의 영혼이 투영된 자전 소설
20세기 독일 문학가들 가운데 우리나라 독자들에게 가장 잘 알려진 작가를 꼽으라고 한다면 단연 헤르만 헤세일 것이다. 내면의 탐구자이자 자아 성찰의 대표 작가인 헤르만 헤세는 휴머니즘을 지향하며, 고뇌하는 청춘과 자연에 대한 동경, 인간의 양면성 등을 작품에 담았다. 도서출판 더스토리는 헤르만 헤세 탄생 140주년을 기념하여 헤르만 헤세의 대표작인 《싯다르타》를 초호화 패브릭 양장으로 제작하였다. 패브릭 특유의 고급스러운 색감과 감촉뿐만 아니라 1919년 출판된 독일 피셔 출판사의 초판본 표지디자인을 그대로 되살려 소장 가치를 한층 높였다. 또한 실로 꿰맨 정통적인 사철 제본을 통해 책의 내구성을 높이고 펼쳐 읽기도 편하게 만들었으며, 독일의 대표적 표지 제작 방식 중 하나인 초코박을 재현하여 오리지널 초판본의 품격과 가치를 담아냈다. 그리고 독일 문학 연구자인 역자의 깊이 있는 번역은 자서전적이고 철학적인 헤르만 헤세 문학의 감동을 고스란히 전해줄 것이다.▶줄거리 인도의 고위 성직자 계급인 브라만의 아들 싯다르타는 더 이상 아버지로부터, 그 밖의 스승들로부터 배우고 또 배워도 어딘가 채워지지 않음을 느낀다. 그래서 부모님의 반대에도 불구하고 친구 고빈다와 함께 출가하여 떠돌아다니며 수행하는 사마나들을 찾아가 제자로 받아 달라고 간청한다. 싯다르타는 사마나가 되어 끊임없이 새로운 것을 익히고 수행하고, 무아가 되어 또 다른 존재가 되어 보기도 하지만, 여전히 가슴속 깊은 곳에 채워지지 않는 게 있음을 느낀다.그 즈음 싯다르타와 고빈다는 열반의 경지에 이르렀다는 고타마에 관한 소문을 듣고는 사마나들에게 이별을 고하고 길을 나선다. 고타마의 가르침에 깊이 감명받은 고빈다는 곧바로 고타마의 제자가 되기를 자청하지만, 싯다르타는 고타마의 가르침만으로 자신이 해탈할 수 없다고 생각하며 고빈다와 헤어지고 만다. 이후로 싯다르타는 인생의 가장 밑바닥에서부터 자아를 알아 가기로 결심하고 방탕한 생활을 시작하게 되는데…….","재현,수행,감명,단연,독자,세상,고하,그대로,투영,색감,줄거리,감동,가슴속,동경,초판,판본,문학,번역,지향,인간,달라,방식,부모님,가치,대한,양장,높이,청춘,고타마,본의,탐구,작품,사철,성직자,꼽으,근원,인생,경지,아버지,스승,무아,친구,제자,헤르,문호,생활,탄생,리지,독일,제본"
변신(미니북)(초판본)(1916년 오리지널 초판본 표지디자인),프란츠 카프카,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,어느 날 아침 벌레로 변해 버린 남자와 그의 가족을 둘러싸고 벌어지는 갈등을 묘사한 <변신>을 비롯하여 프란츠 카프카의 소설을 만나볼 수 있다.,"카프카,벌레,변신,소설,프란츠,나볼,아침,남자,갈등,가족,묘사,비롯"
삶의 한가운데,루이제 린저,"국내도서
 > 
소설
 > 
독일소설
 > 
고전소설/문학선",9790000000000.0,"절망 속에서 참된 삶을 추구한 여성
1911년 독일출신 여류작가 루이제 린저의 대표 장편소설『삶의 한가운데』. 이 작품은 여주인공 니나를 사랑하는 슈타인의 일기 및 편지 그리고 니나와 그녀의 언니간의 짧은 며칠 간의 만남과 대화들로 구성된 소설로 20살 연상의 남자와의 이루지 못한 사랑을 그리고 있다. 반나치즘 투쟁과 휴머니즘에 대한 태도 등 저자의 사상과 생각을 고스란히 품고 있는 주인공 니나는 광기와 절망으로 가득 차 있는 인물이지만 당대 젊은이들을 사로잡으며 많은 사랑을 받는다. 삶의 의미를 부단히 추구하고 모색하는 매혹적인 인간상을 띠고 있었기 때문이다. 그저 평범한 중년 남성인 슈타인은 의사로서 그냥 평범하고, 지루한 삶을 이어가고 있었다. 그러던 중 자신과는 정반대라고 할 수 있는 '니나'를 만나게 된다. 이 어린 소녀는 광기와 절망으로 가득 차 있었고, 그의 일상은 순식간에 점정에 오른다. 소녀가 성숙한 여인으로 성장하기까지 18년을 지켜보는 슈타인. 그 긴긴 시간은 니나를 자신의 목숨처럼 사랑하게 만들었지만 그녀가 다른 남자와 결혼하는 것을 지켜만 봐야 했는데….","장편소설,휴머니즘,소설,당대,모색,남성,출신,고스,사랑,중년,정반대,인물,연상,어가,절망,대한,만남,의사,광기,작가,젊은이,저자,의미,대화,니나,구성,생각,여성,로서,일상,주인공,간의,여인,투쟁,추구,사상,나치즘,며칠,점정,매혹,순식간,그녀,한가운데,대표,슈타인,가득,독일,여류,결혼,언니"
아이가 없는 집,알렉스 안도릴,"국내도서
 > 
소설
 > 
북유럽소설
 > 
미스터리/스릴러소설",9790000000000.0,"자고 일어났더니 내 휴대폰에서 시체 사진이 발견됐다!‘누가 언제 찍은 사진일까? 설마 내가 한 짓은 아니겠지?’
이 책은 유서 깊은 목재 재벌로 만하임 그룹을 운영하는 페르 귄터가 탐정 율리아를 찾아가면서 시작한다. 자신의 휴대폰에서 발견한 시체 사진 한 장 때문에 하룻밤 사이 살인 용의자가 되었다는 페르 귄터. 하지만 정작 그는 사진이 찍힌 시간에 술에 취해 잠들어 기억이 없다고 한다. 게다가 사진 속 남자가 누구인지, 장소가 어디인지조차 알아내기 어렵다. 페르 귄터는 사건이 발생한 날 자신이 머물렀던 만하임 저택으로 율리아를 초대한다. 그날 함께 있었던 사람들이 모두 한자리에 다시 모이는데… 율리아는 과연 사건의 진실을 밝히고 범인을 알아낼 수 있을까?","살인,자고,때문,범인,사람,기억,진실,인지,재벌,시체,하룻밤,탐정,사진,취해,한자리,만하임,저택,용의자,장소,초대,정작,그날,율리,사이,시작,리아,유서,휴대폰,발생,페르,운영,그룹,남자,사건,발견,목재,귄터"
아침 그리고 저녁,욘 포세,"국내도서
 > 
소설
 > 
북유럽소설
 > 
북유럽소설일반",9790000000000.0,"욘 포세, 2023년 노벨문학상 수상시적이고 음악적인 문체로 묘파하는 인간의 삶과 생존투쟁, 그리고 죽음
2023년 노벨문학상 수상의 영예가 욘 포세에게 주어졌다. “입센의 재래” “21세기의 사뮈엘 베케트”라 불리는 노르웨이 작가 욘 포세는 오늘날 세계에서 가장 널리 활동하는 극작가 중 한 명으로 현대 연극의 최전선을 이끌고 있다는 평가를 받아왔다. 희곡 외에도 소설, 시, 에세이, 그림책, 번역에 이르기까지 다양한 장르를 넘나들며 방대한 작품을 써왔고 세계 40여개 이상의 언어로 번역되어 세계적인 주목을 받아왔다.그의 작품은 군더더기를 극도로 제한하는 미니멀한 구성, 리얼리즘과 부조리주의 사이에서 표현되는 반복화법, 마침표를 배제하고 리듬감을 강조하는 특유의 시적이고 음악적인 문체를 통해 평범한 일상이나 인간관계 속에서 드러나는 삶과 죽음이라는 보편적 문제, 인간 존재에 대한 근본적인 성찰을 예리하고 밀도 있게 그려낸다.     그의 혁신적인 희곡과 산문은 말할 수 없는 것에 목소리를 부여한다.   _노벨문학상 선정 이유   “벅차고 다소 겁이 난다. 이 상은 무엇보다도 다른 이유 없이 문학이 되는 것을 목표로 하는 문학에 주는 상이라고 생각한다” _욘 포세(노벨문학상 수상 소식 직후 노르웨이 출판사 Samlaget와의 인터뷰에서)   “전화가 왔을 때, 놀라기도 했고 동시에 놀라지 않기도 했다. 그 전화를 받은 건 큰 기쁨이었다. 지난 십 년 동안 (노벨문학상) 논의의 대상이 되며, 나는 다소간 조심스럽게 그 일이 실제로 일어나는 상황을 준비해왔다.” _욘 포세(노르웨이 공영방송 NRK와의 인터뷰)욘 포세는 1983년 장편소설 『레드, 블랙』으로 데뷔했다. 1994년 첫 희곡 『그리고 우리는 결코 헤어지지 않으리라』 발표 이후 현재까지 수십 편의 희곡을 전 세계 무대에 900회 이상 올렸고, ‘입센 다음으로 가장 많은 작품이 상연된 노르웨이 극작가’로서 언어가 아닌 언어 사이, 그 침묵과 공백의 공간을 파고드는 실험적 형식으로 ‘21세기 베케트’라는 수식어를 얻었다. 2000년 장편소설 『아침 그리고 저녁』을 출간하고 평단의 찬사를 받으며 ‘노르웨이어를 빛낸 가치 있는 작품’에 주어지는 멜솜 문학상을 수상했다. 이 시기를 기점으로 희곡보다 소설 쓰기에 더욱 집중할 것을 선언하고, 2014년 유럽 내 난민의 실상을 통해 인간의 가식과 이중적 면모를 비판한 연작소설 『3부작』(『잠 못 드는 사람들』 『올라브의 꿈』 『해질 무렵』), 2022년 장편소설 『7부작』(『I-II 다른 이름』 『III IV V 나는 또다른 사람』 『VI VII 새로운 이름』) 등을 발표했다.1992년, 2003년, 2019년 세 차례에 걸쳐 노르웨이어로 쓰인 최고의 문학작품에 주어지는 뉘노르스크 문학상을 수상했다. 1999년 스웨덴 한림원이 스웨덴과 노르웨이 소설에 수여하는 도블로우그상, 2003년 노르웨이 예술위원회 명예상, 2005년 노르웨이 최고의 문학상인 브라게상 명예상, 2007년 스웨덴 한림원 북유럽 문학상, 2010년 국제 입센상, 2015년 북유럽이사회 문학상을 수상했고, 2003년 프랑스 공로 훈장에 이어 2005년 노르웨이 국왕이 내리는 세인트 올라브 노르웨이 훈장을 수훈했다. 영국 데일리 텔레그래프가 선정한 ‘살아 있는 100인의 천재’에 이름을 올렸다. 2023년 노벨문학상을 수상했다.   포세의 작품은 당신의 가장 깊은 감정과 불안, 불안정성, 삶에 대한 고민, 죽음에 접근한다. 포세는 언어적으로, 지형적으로 강한 지역성을 모더니즘적 예술 기법과 결합해낸다. 그가 쓴 모든 것은 보편적인 의미를 지닌다. 희곡, 시, 산문을 막론하고 그의 작품에는 휴머니즘에 대한 호소가 담겨 있다. _안데르스 올손(한림원 위원장)","휴머니즘,목표,사람,인터뷰,로우,출판사,호소,쓰기,스웨덴,훈장,위원장,명예,이유,평가,프랑스,다소간,강조,영국,직후,사뮈,수상,가치,침묵,대한,밀도,세기,지난,브라,면모,일리,수식어,기점,올라브,뉘노르스크,논의,아침,부여,유럽,시적,발표,존재,최고,한림원,도블,그림책,북유럽,전화,감정,베케트,불안"
