책 이름,작가,장르,ISBN,책 소개,,
Do it! IT 서비스 이해를 위한 네트워크 기초,심준보,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79116E+12,"개발자에게 필요한 네트워크의 기초부터 응용까지그림으로 이해하고 실습으로 체험하며 배운다!
개발을 하다가 네트워크 지식의 부족함을 느꼈다면? 이 책으로 네트워크 기초를 빠르게 완성하자. 거의 모든 IT 서비스가 웹과 연결되어 있는 클라우드 시대의 개발자에게 최소한의 네트워크 지식은 이제 선택이 아닌 필수다. 이 책은 IT 서비스를 이해해야 하는 개발자에 꼭 필요한 네트워크의 핵심만 담았다. 15일만 공부하면 개발자로서 부족했던 네트워크 기초 지식을 채울 수 있다.244개 그림으로 개념과 동작 원리를 한눈에 이해하고, 24개 실습으로 체험하며 배운다. 눈에 보이지 않는 네트워크의 움직임을 실습으로 손에 잡히는 듯한 경험을 할 수 있어 1번만 공부해도 완벽하게 이해할 수 있다. 111개 문제를 풀어 보면서 시험과 기술 면접까지 대비할 수 있다.",,
그림으로 이해하는 AWS 구조와 기술,오가사와라 시게타카,"국내도서
 > 
컴퓨터/IT
 > 
웹사이트
 > 
웹서비스",9.79117E+12,"읽는 것만으로 충분하다!쉽고 빠르게 이해하는 AWS 개념과 서비스!
AWS는 웹 관련 기능뿐만 아니라 회사 시스템이나 머신 러닝, 인프라와 관련된 기능까지 폭넓은 서비스를 제공한다. 또한, 단순히 ‘임대 서버의 대용품’으로 사용하는 것이 아니라 시스템이나 인프라를 구축하는 데 꼭 필요한 서비스로 자리매김하고 있다. 책에서는 클라우드와 네트워크 구조, 관리 콘솔, 대시보드와 같은 기초 지식부터 Amazon EC2, Amazon S3, Amazon VPC, Amazon RDS 등 AWS 주요 서비스까지 설명한다. 각 서비스의 환경 구조, 사용 절차, 요금, 조합해 사용하면 좋은 서비스들을 155개 일러스트와 40개 표로 일목요연하게 정리하여 직관적으로 이해할 수 있게 구성했다. 또한, 기초부터 설명하기 때문에 사전 지식이 없어도 충분히 읽을 수 있다. 이 책을 읽고 나면 어떤 서비스가 있으며, 그 특징은 무엇인지, 어떻게 사용하면 될지 머릿속에 다양한 AWS 활용 기술을 떠올릴 수 있을 것이다.",,
컴퓨터 네트워킹 하향식 접근,최종원,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.78981E+12,이 책은 컴퓨터공학을 다룬 이론서이다. 컴퓨터 네트워킹 하향식 접근의 기초적이고 전반적인 내용을 학습할 수 있도록 구성하였다.,,
모두의 네트워크 기초,서지영,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79114E+12,"네트워크를 전혀 몰라도 괜찮다!누구나 쉽게 이해할 수 있는 네트워크 입문서
이 책은 이제 막 네트워크를 공부하기 시작했거나 공부해야겠다고 마음먹은 초급자를 대상으로 한 입문서다. 네트워크의 개념, 비트, 랜, 허브 등의 네트워크 기초 지식을 설명한 뒤, 물리 계층, 데이터 링크 계층 등 OSI 7 계층을 장별로 설명하고, 마지막으로 무선 통신에서의 통신 규격과 접속 방식에 대해 설명한다. 실생활 예시와 170개 일러스트로 쉽고 재미있게 네트워크 관련 지식을 익힐 수 있다. [모두의 네트워크 기초]로 누구나 쉽게 네트워크를 익혀 보자!",,
AWS 시스템 개발 스킬업,다카오카 스스무,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79119E+12,"공식 문서가 놓치고 있는 AWS의 모든 것을 담았다
클라우드는 매우 쉽게 사용할 수 있지만, 적절하게 리소스를 활용하면서 안정적으로 시스템을 유지하고 운용하는 것은 어렵다. 이 책은 AWS를 중심으로 실전적인 클라우드 활용 노하우를 담아냈다. 클라우드 제공 서비스를 선정하는 포인트와 비기능 요건 활용법, 다중 계정 아키텍처 구축 및 시스템 유지보수 방법, 클라우드 시스템을 평가하는 다양한 방법을 설명한다. 또한, 배운 내용을 가상의 시스템 요건에 적용해보고, 직접 AWS 계정 가입부터 다중 계정 아키텍처를 구축한다. 마지막으로, 클라우드의 장점을 살린 성공적인 개발 사례를 소개한다. 초기 검토 단계부터 운용 및 유지보수까지 망라한 이 책이 클라우드 도입을 고려하거나 클라우드를 활용한 시스템 개발을 성공시키고 싶은 여러분을 성공으로 이끌어줄 것이다.",,
도커 교과서,엘튼 스톤맨,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79114E+12,"이 책을 읽고 나면, 도커 기본기는 물론이고개념 검증 수준의 프로젝트를 컨테이너로 이전하는 것부터실제 운영 환경을 구축하기 위한 모든 과정을 수행할 수 있다!
이 책의 목표는 명료하다. 독자 여러분이 이 책을 읽고 난 후 도커를 이용해 여러분의 애플리케이션을 자신감 있게 운영할 수 있는 능력을 갖추는 것이다. 여기서 말하는 능력이란 개념 검증 수준의 프로젝트를 컨테이너로 이전하는 것을 비롯해서 실제 운영 환경으로 이행하기 위한 모든 과정을 수행할 수 있는 능력을 의미한다. 이 책의 각 장은 실무에서 맞닥뜨릴 수 있는 과업에 초점을 맞추고 있으며 도커와 분산 애플리케이션, 컨테이너 오케스트레이션과 컨테이너 생태계를 이해하고 잘 활용할 수 있도록 점진적인 경험을 제공하게 구성돼 있다.",,
도메인 주도 개발 시작하기: DDD 핵심 개념 정리부터 구현까지,최범균,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
Server",9.79116E+12,"가장 쉽게 배우는 도메인 주도 설계 입문서!
이 책은 도메인 주도 설계(DDD)를 처음 배우는 개발자를 위한 책이다. 실제 업무에 DDD를 적용할 수 있도록 기본적인 DDD의 핵심 개념을 익히고 구현을 통해 학습할 수 있도록 구성했다. 이 책으로 도메인 모델을 이용하여 애플리케이션을 구현하면서 DDD에 대한 이해를 넓힐 수 있을 것이다.",,
IT 엔지니어를 위한 네트워크 입문,고재성,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79117E+12,"클라우드/데브옵스 시대에 알아야 할 인프라 지식서버실이 있고, 서버 관리자가 따로 있었던 시대를 지나 클라우드 서비스가 보편화되었다. 클라우드 서비스로 넘어오면서 개발자가 직접 서버의 배포, 테스트를 하게 되었고, 네트워크 배치 등을 직접 하게 되면서 인프라 지식이 필수가 되었다. 클라우드 서비스가 아무리 편리한 인터페이스를 제공해도 가상 IP가 무엇인지, DHCP는 왜 써야 하는지, DNS는 어떤 원리로 동작하는지 등을 이해하지 못하면 클라우드 서비스 이용에 어려움을 겪는 시대가 되었다. 개발자에게 익숙한 네트워크 상위 레이어뿐만 아니라 네트워크 하위 레이어의 동작 원리도 확실하게 이해하자.인프라 지식이 만드는 한 끗 차이이전에는 웹 개발만 할 줄 알면 되었지만, 클라우드 방식이 보편화되고, 서버도 필요 없는 서버리스 아키텍처까지 넘어오면서 백엔드와 인프라 지식에 대한 필요성이 더 중요해졌다. 웹 페이지의 URL 요청이 인프라에서 전달되는 과정을 이해하는 개발자가 문제가 발생했을 때 해결 방법을 찾아내는 한 끗 차이를 만든다. 개발자도 인프라에 대한 지식이 필요한 시대!",,
스마트한 QGIS 활용서,문승주,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
지리정보(GIS)",9.78893E+12,"QGIS로 공간정보를 맘껏 활용하자!역학조사의 선구자라 불리는 존 스노는 런던의 지도 위에 콜레라 사망자를 표기하여 콜레라의 확산을 막는 데 큰 기여를 하였다. 멀리 볼 것도 없이 최근의 사스, 메르스, 코로나19에 이르기까지 많은 전염병 확진자의 동선 및 확산경로 파악을 위해 지도를 적극 활용한다. 이러한 업무에 적합한 도구로 ArcGIS가 주로 활용되었으나 오픈소스인 QGIS의 개발로 QGIS의 활용도가 급격히 증가하게 되었다.QGIS는 누구나 어디서나 무료로 사용할 수 있다는 장점과 세계 각국의 많은 엔지니어의 헌신으로 날로 발전하고 있다. 다만, 버전이 업데이트되면서 이전 버전에서 사용하던 기능이 없어지거나 위치가 바뀌거나 플러그인의 활용이 제한되는 경우가 발생하여 종종 난감해지는 경우가 있다. 이는 오픈소스가 가지고 있는 특성으로, 사용자는 다각적인 측면에서 고려하여 활용해야 할 것이다. 따라서 가급적이면 본 교재에서 활용한 3.22.1버전으로 활용하기를 권장한다. 앞서 설명한 전염병뿐만 아니라 토지개발, 사회의 각종 문제 등 여러 분야에서 QGIS가 활용되고 있다. 모든 인간의 생활은 토지를 기반으로 이루어지고 있기에 토지에 대한 기본정보 즉, 공간정보(국토정보)의 중요성은 날로 높아지고 있다. 그러나 정작 공간정보를 취득하고, 관리하는 분야에서는 QGIS의 활용도가 낮은 것이 현실이다. 그 이유는 업무에 맞는 개별 프로그램이 만들어져 있기 때문이고, 도면의 구축 및 편집에는 AutoCAD의 활용이 훨씬 편리하기 때문이다. 도면을 만들고, 이를 구조화하여 DB로 관리하게 되면 AutoCAD보다 QGIS와 같은 분석도구까지 활용이 가능한 도구가 훨씬 효과적이다. 특히 토지를 기반으로 하는 업무에의 적용은 업무의 효율성을 극대화시킬 수 있다.현재 사용자설명서의 경우 기능 위주로 기술되어 있다 보니 현장 업무에서 적용이 어려운 것이 현실이다. 따라서 지적, 측량, 토지개발, 도시계획 등의 업무에서 활용되는 예제를 중심으로 단계별 활용서를 작성하였다. 모든 자료는 국가에서 무료로 제공하는 공간정보를 기초로 하였으며, 자체적으로 만든 데이터도 일부 포함되어 있다. 국가가 제공하는 공공데이터를 받을 수 있는 경로를 기재하였으니 직접 다운 받아 활용하기를 적극 권장한다.QGIS의 활용에 있어서 정도(定道)는 없다고 생각한다. 즉 응용력과 데이터의 선택이 중요한 것으로, 본 교재에 사용된 방법 이외에도 더욱 편리한 방법이나 플러그인 등이 개발되고 있으며, 최신의 데이터가 있을 수 있다. 따라서, 자신의 분야에 활용되는 다양한 기능과 데이터에 대한 끊임없는 탐구와 노력이 필요하며, 본 교재는 분야 발전의 마중물 역할을 하는 것이라 생각된다. 아울러 본 교재에서 사용한 모든 기능은 3.22.1버전을 기준으로 작성되었으며, 다른 버전에서는 제대로 기능이 작동되지 않을 수 있음을 다시 한번 강조하고자 한다.",,
한 권으로 끝내는 네트워크 기초,오키타 토시야,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
네트워크일반",9.79117E+12,"133개 도해와 22개 표로 배우는 네트워크 기초 입문서!
클라우드 사용이 활성화되면서 네트워크도 함께 중요해졌다. 이 책은 이제 막 네트워크 관련 업무를 수행하게 되었거나 네트워크 학습을 시작하고자 할 때 필요한 기초 지식을 한 권에 담고자 했다. 네트워크의 정의부터 네트워크와 웹을 실현하는 기술, 클라우드와 네트워크의 관계를 학습하며 네트워크 기초를 다지고, 네트워크 설계와 구축, 운영과 보안, 마지막으로 네트워크 패턴까지 다뤄 네트워크 응용도 맛볼 수 있다. 또한, 자칫 추상적이고 난해할 수 있는 네트워크를 도해 133개와 표 22개로 설명하여 직관적으로 이해할 수 있다.",,
NGINX 쿡북,데릭 디용기,"국내도서
 > 
컴퓨터/IT
 > 
네트워크
 > 
네트워크일반
 > 
Server",9.79117E+12,"웹 애플리케이션을 위한 ‘스위스 군용 칼’Welcome to nginx cookbook!
2004년 처음 발표된 엔진엑스는 웹 서버 시장 점유율 30% 이상을 차지하는 주류 소프트웨어가 된 지 오래입니다. 엔진엑스는 초창기에 아파치 서버의 단점을 보완하는 용도로 함께 사용되었지만, 높은 성능과 편의성을 무기로 빠르게 성장해 현재는 전 세계 웹 서버 시장 점유율 1위에 자리하고 있습니다.길지 않은 기간에 엔진엑스가 빠르게 성장한 데에는 여러 이유가 있겠지만 무엇보다 쉬운 설치 및 사용법과 고성능 트래픽 처리 기능 덕분입니다. 게다가 ‘웹 애플리케이션을 위한 스위스 군용 칼’이라는 별명답게 웹 서버와 리버스 프록시를 넘어서서 부하분산, 캐싱, 보안, API 게이트웨이 등 다양한 기능을 갖추었습니다.이 책은 엔진엑스를 가장 엔진엑스답게 활용하기 위한 가이드입니다. 엔진엑스 오픈 소스 및 상용 버전에서 제공하는 유용한 기능과 그 사용법을 간결한 레시피로 설명합니다. 문제-해결-논의 형식의 레시피는 실무에서 필요할 때마다 꺼내 보고 참고하기 좋습니다. 그동안 엔진엑스를 단순히 웹 서버로만 사용해 왔다면 새로운 기능을 발견하는 재미도 느낄 겁니다!●	HTTP, TCP, UDP 서버 부하분산●	트래픽 암호화, 보안 링크, HTTP 인증 하위 요청을 통한 접근 보안●	엔진엑스를 구글 클라우드, 디지털오션, AWS, 애저 클라우드 서비스로 배포하기●	엔진엑스 플러스로 SAML 인증을 위한 서비스 공급자 설정하기●	QUIC 프로토콜을 사용해 HTTP/3 활성화하기●	엔진엑스에서 오픈텔레메트리 사용하기",,
네트워크 보안 방화벽(Firewall),피터 전,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.789E+12,"예제가 풍부한 네트워크 보안 방화벽의 바이블!
네트워크 보안 방화벽은 설정된 룰에 따라 유해 트래픽을 차단하는 장비이다. 침입방지시스템(IPS), 가상사설망(VPN) 게이트웨이, Anti-DDoS장비 등 여러 가지 네트워크 보안장비가 있지만 가장 기본적으로 사용되는 것이 방화벽이다. [한 권으로 끝내는 네트워크 보안 방화벽(Firewall)]은 최신 네트워크 에뮬레이터 UNetLab을 사용하여 라우터의 다양한 방화벽 기능과 시스코 전용 방화벽 장비인 ASA를 이용하여 유해 트래픽을 차단하는 방법들에 대하여 다루고 있다.▶ 이 책은 2011년에 출간된 <네트워크 보안 방화벽>(네버스탑)의 개정판입니다.",,
API 보안 전략,콜린 도모니,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.78896E+12,"API 보안을 이해하고 보호하는 데 진심인 모든 사람에게
API 사용이 기하급수적으로 증가함에 따라 API를 목표로 하는 공격 역시 빠른 속도로 증가하고 있다. 최근 분석에 따르면 API 공격이 681%나 증가했다. API가 보호하는 데이터의 높은 경제적 가치 때문에 API는 현재 공격자들에게 가장 인기 있는 공격 대상인 것이다. 하지만 기존의 보안 도구들은 보호해야 할 주된 자산이 웹 앱이던 시절에 만들어졌기 때문에, API 보안에는 더 이상 적합하지 않다. API 보안에는 탄탄한 방어 설계와 코딩 기법, 그리고 좀 더 현대적인 API 기술이 필요하다.이 책은 더욱 안전한 API를 구축하고 배포하기 위해 API 방어를 전반적으로 다루며, API 해킹 기법을 포함해 더 근본적이고 체계적인 보안 전략을 보여준다. 우선 API가 어떤 위협과 공격에 직면하는지에서 시작한다. 그리고 일반적인 유형의 공격을 왼쪽 이동(shift-left)에 초점을 둔 API 우선 설계를 통해서 근본적으로 방어하는 방법을 설명한다. API 보안의 필요성과 실제 침해 사례를 다루며, API 보안 전략의 목표와 KPI 선택, 보안 계획 수립 및 구체적인 실행을 논의한다. 챕터마다 요약과 추가 읽을거리도 포함된, 국내에서 가장 종합적인 API 보안 도서이다.",,
디지털 포렌식 검정시험 필기,Korea Forensic Publisher,"국내도서
 > 
기술/공학
 > 
전기/전자
 > 
전기/전자자격증
 > 
전기/전자자격증일반",9.7912E+12,"한국포렌식학회는 디지털 포렌식 분석자의 전문성을 검증하기 위한 '디지털 포렌식 전문가 자격시험'을 2010년 민간자격으로 시작하여 2012년 법무부 국가공인을 받아 2023년 제20회 시험까지 실시되었고, 2023년 8월 현재 총 1045명의 합격자가 배출되었다. 디지털 포렌식 전문가 자격증을 준비하는 수험생들이 좀 더 쉽고 편하게 자격 시험을 대비할 수 있는 수험서다.",,
리얼월드 암호학,데이비드 웡,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79119E+12,"세상에서 가장 실용적인 암호학 가이드북
암호학은 IT 보안의 필수 기반이다. 시스템 공격자보다 앞서려면 네트워크와 애플리케이션을 보호할 도구, 프레임워크, 프로토콜을 이해해야 한다. 이 책은 개발자, 시스템 관리자, 보안 실무자를 위한 실용적인 기술을 가르친다. 복잡한 수학이나 전문용어 대신 다양한 그림과 실제 사례를 통해 현대 암호학 기법을 설명한다. 해시 함수, 서명, HTTPS, 보안 메시징, 양자 내성 암호학, 암호화폐 등 기본 요소부터 최첨단 기술까지 배울 수 있다. TLS를 포함한 인터넷 표준에 적극적으로 기여하고 있는 암호학 엔지니어가 필드에 처음 입문하는 실무자도 읽을 수 있게 집필했다.",,
네트워크 해킹과 보안,양대일,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79116E+12,"47개 실습과 5개 프로젝트로 배우는 핵심 보안 기법!새로운 보안 취약점이 끊임없이 등장해, 최신 보안 기법을 계속 익힌다고 해도 공격자와 보안 관리자가 계속 대립하는 상황을 벗어날 수 없다. 그러므로 어떠한 상황에서도 대처할 수 있는 핵심 원리를 알아야 한다. 이 책을 통해 네트워크 기본 개념을 빠르게 정리해보고 네트워크 해킹과 보안의 핵심 이론과 기법을 익힐 수 있다. 다양한 공격과 대응 실습을 통해 지능화된 보안 위협에도 대응할 수 있는 기본기를 다질 수 있도록 구성했다.※ 본 도서는 대학 강의용 교재로 개발되었으므로 연습문제 해답은 제공하지 않습니다.",,
웹 해킹과 보안 설정 가이드,백승호,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.78896E+12,"『웹 해킹과 보안 설정 가이드』은 웹 개발자와 서버 운영자를 위한 『웹 해킹과 보안 설정 가이드』. 웹 해킹 기법을 소개하고, 홈페이지에서 해당 웹 해킹에 대한 취약점의 존재 여부를 확인하는 방법, 안전한 소스코드 개발 방법과 서버의 보안 설정 방법을 설명한다. 또한 보안을 공부하고자 하는 사람들에게 웹 해킹의 이해와 공격 및 대응 방법에 대해 배울 수 있다.",,
정보보안개론,양대일,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79116E+12,"보안의 큰 그림을 그려주는 출발점!
보안의 전체 그림을 그려주는 든든한 기본서입니다. 보안의 개념과 역사를 소개한 후 시스템, 네트워킹, 암호 등의 기술 보안 영역부터 보안 시스템, 보안 관리 등의 관리 보안 영역까지 고르게 다루어 보안 전반에 대한 안목을 기르는 데 도움을 줍니다. ‘IT에 대한 아주 기본적인 지식만으로도 보안의 개념을 충분히 잡을 수 있는 책’이라는 초판의 콘셉트를 유지하면서 IoT 보안과 AI 보안 같은 최신 보안 이슈까지 담았습니다.※ 본 도서는 대학 강의용 교재로 개발되었으므로 연습문제 해답은 제공하지 않습니다.[도서 특징]  ① IoT, 인공지능 머신 러닝 등 각 기술과 관련된 개념부터 보안 적용 사례까지 최신 내용을 담았습니다.② 본물을 이해하는 데 필요한 그림과 표, 사례와 예제를 추가하였습니다.③ 정보 보안 기사 시험에 출제된 문제를 기반으로 하는 새로운 연습문제를 추가하였습니다.",,
정보보호개론,히로시 유키,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79119E+12,"『정보보호개론』은 정보보안과 암호 기술을 이해하기 쉽게 소개한 입문서이다. 복잡한 수학 이야기는 최대한 적게 하여, 암호기술 각각의 역할과 의미를 정확하게 이해할 수 있을 뿐만 아니라, 보안에 대한 기본적인 지식을 습득할 수 있도록 구성되어 있다. 이번 3판은 본문의 내용을 전면적으로 재검토하여 NIST, CRYPTREC 각종 RFC 등의 정보를 기반으로 업데이트 하였다. 또한 SSL/TLS로의 POODLE공격, HeartBleed취약성, Superfish사건, SHA-3경쟁과 Keccak의 구조, 인증부 암호, 타원곡선 암호 및 가상통화 비트코인 등을 추가하였다. 또한 자신이 책의 내용을 어느 정도 이해했는지 확인할 수 있는 수많은 퀴즈와 연습문제가 마련되어 있다.",,
초보 해커를 위한 칼리 리눅스 입문,OccupyTheWeb,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79119E+12,"화이트 해커 꿈나무를 위한 가장 친절한 리눅스 안내서
보안 전문가나 해커가 되려면 리눅스 시스템의 이해는 기본이다. 이 책은 해킹, 사이버 보안, 침투 테스트 등을 시작하기에 앞서 꼭 알아야 할 리눅스의 기초를 담았다. 해커가 많이 쓰는 칼리 리눅스 배포판으로 실습하므로, 해킹의 기초를 학습하고 다음 단계로 넘어가기에 적합하다. 이 책으로 리눅스의 기본 명령어를 따라 하며 실습하다 보면, 어느새 해커가 된 자신과 마주하게 될 것이다.",,
클라우드X보안 실무 가이드,황치하,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.78897E+12,"“클라우드 보안은 선택이 아닌 필수!”다양한 클라우드 환경에서 DevSecOps와 보안 거버넌스 수립을 위한 보안 실무 가이드《클라우드×보안 실무 가이드》는 클라우드 시스템의 도입 및 전환 과정에서 발생할 수 있는 보안 문제를 해결하기 위해, 보안 관점에서 접근합니다. 우선, 클라우드 기술의 기본 개념과 함께 보안 위협, 사고 사례들을 살펴보면서 독자들이 클라우드 환경에 대한 이해를 넓히도록 돕습니다. 이를 통해, 보안을 얼마나 강화해야 하는지에 대한 기준을 설정하고, 보안 설계의 중요성을 인식하게 합니다.다음으로, 클라우드 보안 설계 및 모델, 서비스를 상세히 알아보고, 목적에 따라 다를 수 있는 클라우드 보안 위협 요소들과 그에 대응하는 해결 방안을 제시합니다. 또한, 챗GPT, 파이썬, API, Ansible, Lambda 함수 등 다양한 도구를 활용하여, 보안 수준을 한층 더 향상시키는 방법을 탐구합니다.이 책은 실질적인 예시와 해결책을 제공함으로써, 독자들이 클라우드 보안에 대한 깊은 이해를 얻고, 실제 환경에서의 보안 강화에 자신감을 갖게 됩니다. 클라우드 기술을 도입하거나 전환하는 과정에서 안전한 환경을 구축하고자 하는 모든 이들에게 필수적인 지침서가 될 것입니다.",,
멀웨어 분석과 리버스 엔지니어링,아비짓 모한타,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79116E+12,"멀웨어 분석과 리버스 엔지니어링에 대한 깊은 이해가 사이버 위협에 대응하는 데 필수적임을 보여주며, 기초부터 고급 기술까지 필요한 모든 지식을 체계적으로 제공하는 책이다. 또한 리버스 엔지니어링 과정을 통해 소프트웨어의 내부 구조를 파악하고 취약점을 발견하는 방법을 상세히 설명한다.",,
Arm 어셈블리 내부 구조와 리버스 엔지니어링,마리아 마크스테터,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79116E+12,"ARM 기반 장치의 애플리케이션을 어셈블리 수준으로 분석하는 리버스 엔지니어와 보안 엔지니어를 위한 필독서이다. ARM 장치의 취약점을 찾아 그 피해를 줄이고자 하는 ARM 보안 전문가를 위해, ARMv8-A 인스트럭션 세트와 보안 및 방어를 목적으로 하는 리버스 엔지니어링 과정을 소개한다. 다음으로 ELF파일 형식과 OS 내부를 소개하고 ARM 아키텍처의 기본과 A32 및 A64 인스트럭션을 철저히 알아본다. 또한 관련 리버스 엔지니어링 과정을 깊이 있게 분석한다. 마지막으로 ARM 기반 M1 SoC로 컴파일된 macOS 멀웨어 바이너리를 간단히 들여다본다. 이 책을 통해 ARM 아키텍처용으로 컴파일된 리버스 엔지니어링 소프트웨어를 통해 ARM 인스트럭션 및 제어 흐름 패턴을 폭넓게 이해할 수 있을 것이다.",,
그림으로 배우는 보안 구조,마스이 토시카츠,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.78893E+12,"한 눈에 살펴보는 네트워크 보안의 모든 것
뉴스에서 매일같이 개인정보의 분실이나 도난, 정보 유출 사건 등을 다루고 있지만 비용과 시간, 관련 지식이 많이 필요한 보안의 특성상 충분한 대책을 세우지 못하고 있는 곳이 많은 것이 현실입니다. 기업이나 조직에서의 보안을 위해서는 거대한 대책보다 개개인의 보안 의식부터 정책까지 조금씩 경험을 쌓아가는 것이 더 중요합니다. 이 책에서는 네트워크 보안을 위해 꼭 알아야 할 기초적인 개념부터 부정 접속, 사칭, 바이러스, 백도어, 원격 탈취, 랜섬웨어 등 다양한 네트워크 공격 방법 그리고 이에 대응하는 암호화, 인증서, 핫픽스 등 보안 기술과 운영 방법, 관련 법률, 대응 정책들을 다루고 있습니다. 한 페이지씩 구성된 내용 설명과 간단한 그림을 통해 네트워크 보안의 원리와 구조를 한 눈에 쉽게 파악할 수 있으며, 실제로 적용해 볼 수 있도록 실습코너도 싣고 있습니다.",,
디지털포렌식 이론,한국포렌식학회,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79119E+12,▶ 이 책은 디지털포렌식 이론을 다룬 이론서입니다.,,
스프링 시큐리티 인 액션,로렌티우 스필카,"국내도서
 > 
컴퓨터/IT
 > 
보안/해킹",9.79116E+12,"모든 스프링 개발자에게 권장하는 스프링 시큐리티 필수 가이드!
보안은 타협할 수 없는 중요한 요소다. 스프링 시큐리티로 안전하게 데이터를 전송하고 자격 증명을 검증하며 공격을 방지하는 애플리케이션을 개발할 수 있다. ‘설계에 의한 보안’ 원칙을 따르면 데이터 도난과 무단 침입으로부터 네트워크를 보호할 수 있다.《스프링 시큐리티 인 액션》에서는 피해가 발생하기 전에 사이트 간 스크립팅과 요청 위조 공격을 방지하는 방법을 배운다. 암호 업그레이드 시뮬레이션과 여러 유형의 권한 부여를 추가하는 것과 같은 기본적인 내용으로 시작해, 스프링 시큐리티를 새 아키텍처에 적용하고 고급 OAuth2 구성을 작성하는 방법과 같은 심화된 내용으로 마무리한다. 이 책을 모두 공부하면 일반적인 위협은 물론 심각한 위협에도 대비하는 맞춤 구성된 스프링 시큐리티 구성을 만들 수 있게 된다.★ 이 책에서 다루는 내용 ★◎ 암호 인코딩 및 사용자 인증◎ 엔드포인트 보호◎ 보안 테스트 자동화◎ 독립 실행형 권한 부여 서버 설정",,
